label,text
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,Ok lar... Joking wif u oni...
ham,U dun say so early hor... U c already then say...
ham,"Nah I don't think he goes to usf, he lives around here though"
ham,Even my brother is not like to speak with me. They treat me like aids patent.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,Oh k...i'm watching here:)
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
ham,Fine if thats the way u feel. Thats the way its gota b
ham,Is that seriously how you spell his name?
ham,I‘m going to try for 2 months ha ha only joking
ham,So ü pay first lar... Then when is da stock comin...
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
ham,Ffffffffff. Alright no way I can meet up with you sooner?
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
ham,Lol your always so convincing.
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
ham,K tell me anything about you.
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
ham,"Oops, I'll let you know when my roommate's done"
ham,I see the letter B on my car
ham,Anything lor... U decide...
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
ham,WHO ARE YOU SEEING?
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
ham,No calls..messages..missed calls
ham,Didn't you get hep b immunisation in nigeria.
ham,"Fair enough, anything going on?"
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
ham,What you thinked about me. First time you saw me in class.
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
ham,"Sorry, I'll call later in meeting."
ham,Tell where you reached
ham,Yes..gauti and sehwag out of odi series.
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
ham,Ha ha ha good joke. Girls are situation seekers.
ham,Its a part of checking IQ
ham,"Sorry my roommates took forever, it ok if I come by now?"
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
ham,I plane to give on this month end.
ham,Wah lucky man... Then can save money... Hee...
ham,Finished class where are you.
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
ham,K..k:)where are you?how did you performed?
ham,U can call me now...
ham,I am waiting machan. Call me once you free.
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.
ham,I like you peoples very much:) but am very shy pa.
ham,Does not operate after  &lt;#&gt;  or what
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.
ham,"Sorry, I'll call later"
ham,K. Did you call me just now ah? 
ham,Ok i am on the way to home hi hi
ham,You will be in the place of that man
ham,Yup next stop.
ham,"I call you later, don't have network. If urgnt, sms me."
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
ham,I'm really not up to it still tonight babe
ham,"Ela kano.,il download, come wen ur free.."
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
ham,Watching telugu movie..wat abt u?
ham,i see. When we finish we have loads of loans to pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""
ham,I see a cup of coffee animation
ham,Please don't text me anymore. I have nothing else to say.
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
ham,Umma my life and vava umma love you lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
ham,"Aight, I'll hit you up when I get some cash"
ham,How would my ip address test that considering my computer isn't a minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
ham,Dont worry. I guess he's busy.
ham,What is the plural of the noun research?
ham,Going for dinner.msg you after.
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
ham,here is my new address -apples&pairs&all that malarky
ham,I am going to sao mu today. Will be done only at 12 
ham,Ü predict wat time ü'll finish buying?
ham,"Good stuff, will do."
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
ham,Are you there in room.
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
ham,K..k:)how much does it cost?
ham,I'm home.
ham,"Dear, will call Tmorrow.pls accomodate."
ham,First answer my question.
ham,I only haf msn. It's yijue@hotmail.com
ham,He is there. You call and meet him
ham,No no. I will check all rooms befor activities
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
ham,"K, text me when you're on the way"
ham,"Sir, Waiting for your mail."
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"
ham,I know you are. Can you pls open the back?
ham,Yes see ya not on the dot
ham,Whats the staff name who is taking class for us?
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
ham,K..i deleted my contact that why?
ham,Sindu got job in birla soft ..
ham,The wine is flowing and i'm i have nevering..
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
ham,Ok... Ur typical reply...
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
ham,Aaooooright are you at work?
ham,I'm leaving my house now...
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
ham,New car and house for my parents.:)i have only new job in hand:)
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
ham,I place all ur points on e cultures module already.
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
ham,Great escape. I fancy the bridge but needs her lager. See you tomo 
ham,Yes :)it completely in out of form:)clark also utter waste.
ham,"Sir, I need AXIS BANK account no and bank address."
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... "
ham,What time you coming down later? 
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
ham,"Well, i'm gonna finish my bath now. Have a good...fine night."
